Date,CVS,HOLX,TMO,XLV
2024-01-02,100.0,100.0,100.0,100.0
2024-01-03,100.03711652075873,99.87579859366862,97.1827569642404,99.83429489802414
2024-01-04,99.57949080185226,100.56583448425303,98.75216595529125,100.33148976604198
2024-01-05,100.70502784669296,100.67623222462134,97.62564346592576,100.24499440792165
2024-01-08,99.78975573691075,98.44052267775957,99.49092714173361,101.13129336133919
2024-01-09,99.39398054995087,99.5307806483764,99.5773057547818,101.1169039890159
2024-01-10,98.00866920373745,99.130558568344,99.95954776569127,101.57804586413523
2024-01-11,97.62523518240998,99.95859953122287,100.33996129949192,101.50600807441556
2024-01-12,94.69389826517734,100.4002220800324,100.0312308404945,101.25380761431934
2024-01-16,95.7575744420868,100.59343128706708,99.60486835416292,100.6485333296962
2024-01-17,95.22573635363207,100.81424782602791,99.09949759769712,100.44677523482181
2024-01-18,91.3791169906326,101.5042837166123,100.04959461985283,100.43235176445984
2024-01-19,91.38537026132573,101.46287271872309,101.3966630518502,100.4900001818562
2024-01-22,92.27150523047334,102.18051594123365,101.69805702862087,100.92954663247771
2024-01-23,93.73176280114279,103.10516150762987,101.21102747772193,100.85749747674512
2024-01-24,92.59601380350074,102.24951321282482,99.2354934043896,99.93516826245488
2024-01-25,89.85018713816947,102.31852101352811,98.90838787913812,99.78385253280231
2024-01-26,91.11078449399722,102.69114629074647,100.58437902660005,100.35309655655273
2024-01-29,91.7098581623839,103.47778678484822,102.50298199785277,101.05925557161952
2024-01-30,92.17165961907556,103.40877898414496,104.22124256983653,101.28984924120499
2024-01-31,92.82066642914573,102.73254675952361,99.04985783026135,101.15292288387572
2024-02-01,92.2590193610563,102.69114629074647,101.48485885511147,102.46435618356567
2024-02-02,91.22310563882742,99.97240319718594,101.40953011298635,102.31302908790019
2024-02-05,90.41184454224353,99.42037237889599,101.37275740668672,102.63007265155441
2024-02-06,92.05932813826074,102.35992148230524,102.96425485268794,103.74695390854451
2024-02-07,94.9174759484222,101.9182989334957,101.49955439335645,104.0279785773389
2024-02-08,93.70681173427796,101.3386713123917,101.23860136399878,103.84781590696237
2024-02-09,95.254460054882,101.35247497835478,101.21287852862221,103.76854933304236
2024-02-12,96.4650932610724,102.20811274404771,100.49801170044759,103.90547569037163
2024-02-13,95.59144416134183,101.11785477343088,98.98004838014988,102.93993289505987
2024-02-14,95.36678119971221,100.95225289832237,100.75712496580071,103.83341516862616
2024-02-15,95.60390935878962,101.84930166190453,100.81226145145867,104.59001654891478
2024-02-16,96.22796510199498,101.83549799594145,100.67811669566646,104.92868963510553
2024-02-20,95.24195351349574,102.92575596655828,100.73323060753296,104.57562717659148
2024-02-21,96.2903737771109,104.63704202705624,101.59881135443652,104.80618674813824
2024-02-22,96.22796510199498,104.71984296461049,103.00283346230492,106.03836483992109
2024-02-23,96.3527617802576,105.09246824182885,103.77835606815118,106.5427543941006
2024-02-26,95.39174260256165,103.24316657992433,103.55231340729712,105.9951398928867
2024-02-27,95.19204104378147,104.00221027121204,104.04665686663132,105.73571064859016
2024-02-28,93.84410461794221,102.29092421071407,105.12359602303971,105.20971430389991
2024-02-29,92.82066642914573,101.84930166190453,104.78357828906914,104.35222819316768
2024-03-01,92.15916341367391,101.64228878890678,105.91379159333947,105.44749129363413
2024-03-04,92.22159276075907,102.95335276937232,106.8896227377675,105.28895814579413
2024-03-05,91.99691946314482,101.79409752716433,107.43542315475057,104.50355528883313
2024-03-06,92.7832398288485,103.78139373225122,108.70160969192193,105.21692035607447
2024-03-07,92.73329635118037,105.32707791764065,109.83365147330106,105.70688643989197
2024-03-08,93.69433620084554,106.33453495070322,109.8244865139655,105.51234576320503
2024-03-11,94.7801623927887,105.34088158360373,110.15893980833948,105.45469734580868
2024-03-12,93.86906602079166,104.38862868528136,109.75832273117594,105.94467479563909
2024-03-13,93.70681173427796,105.34088158360373,109.0360968469831,105.53396391972866
2024-03-14,95.37924639716,103.97460293928586,107.56124946838722,105.1592605726652
2024-03-15,96.60238614473666,104.76125396249974,107.42151769920693,104.74134364458023
2024-03-18,96.81456323694924,105.36847838641779,106.66754177731588,104.72904561862934
2024-03-19,97.42613311073757,105.31327425167758,107.15853302861724,105.42328168617074
2024-03-20,98.5743886497659,103.56058772240249,106.66754177731588,105.18465224546951
2024-03-21,97.68821233667981,104.22301628106074,107.41781559740635,105.3220559753403
2024-03-22,97.9503225705759,103.86420519891757,107.22657043609856,105.17741209525629
2024-03-25,98.5743886497659,104.40243235124444,105.47406542245947,105.03277958118515
2024-03-26,98.99872216222182,105.12006504464291,104.60241232565133,105.41606426798332
2024-03-27,99.13599437391686,106.74855016758661,106.54249425948483,106.81899397146677
2024-03-28,99.54788336089425,107.59039479642855,106.88086410667832,106.83346290588031
2024-04-01,99.29825899641517,105.05106777305173,106.18942887404637,105.9222723842258
2024-04-02,92.1342226827937,104.99586363831153,105.10629321188031,104.27346172381498
2024-04-03,93.10773806589128,106.99696350936148,105.9227759623433,104.15774434654519
2024-04-04,92.23405795820686,106.65194556406928,104.93158335282205,102.65354346817972
2024-04-05,93.08277666304183,107.61800212835473,106.55906342242156,103.57197414004746
2024-04-08,92.9080365071111,106.78995063636374,106.43767285880816,103.23932504069033
2024-04-09,91.56010008127184,108.21143341542181,108.35015833257336,103.60814079307492
2024-04-10,88.80179788250817,107.10737177884188,105.50165059563206,102.3932049428517
2024-04-11,87.04199314166077,107.3419814546537,105.65980257864935,101.97377633505187
2024-04-12,85.66910048096437,106.72095336477257,103.94223050730534,100.45512925429863
